date,time,datetime,id,minutes
7/30/15,6:35 am,2015-07-30T06:35:00,1122,9
7/30/15,7:12 am,2015-07-30T07:12:00,1128,6
7/30/15,7:57 am,2015-07-30T07:57:00,2027,5
7/30/15,10:11 am,2015-07-30T10:11:00,1057,16
7/30/15,10:35 pm,2015-07-30T22:35:00,1027,12
7/31/15,8:07 pm,2015-07-31T20:07:00,1052,10
8/1/15,7:20 am,2015-08-01T07:20:00,1121,5
8/1/15,7:50 am,2015-08-01T07:50:00,1025,6
8/1/15,8:30 am,2015-08-01T08:30:00,368,33
8/2/15,4:00 pm,2015-08-02T16:00:00,2035,8
8/3/15,12:20 pm,2015-08-03T12:20:00,2002,13
8/3/15,12:29 pm,2015-08-03T12:29:00,1126,29
8/3/15,4:45 pm,2015-08-03T16:45:00,1061,17
8/3/15,6:20 pm,2015-08-03T18:20:00,1133,9
8/4/15,5:58 am,2015-08-04T05:58:00,2006,134
8/4/15,5:58 am,2015-08-04T05:58:00,2006,0
8/4/15,6:12 am,2015-08-04T06:12:00,1723,16
8/4/15,8:45 am,2015-08-04T08:45:00,1035,81
8/4/15,8:45 am,2015-08-04T08:45:00,1035,0
8/4/15,4:20 pm,2015-08-04T16:20:00,1035,3
8/4/15,5:17 pm,2015-08-04T17:17:00,2024,25
8/5/15,6:09 am,2015-08-05T06:09:00,1036,17
8/5/15,7:00 am,2015-08-05T07:00:00,2007,18
8/5/15,8:24 am,2015-08-05T08:24:00,1052,0
8/5/15,10:25 am,2015-08-05T10:25:00,1052,18
8/5/15,3:05 pm,2015-08-05T15:05:00,1063,0
8/5/15,5:10 pm,2015-08-05T17:10:00,761,5
8/6/15,6:30 am,2015-08-06T06:30:00,2017,0
8/6/15,6:30 am,2015-08-06T06:30:00,2017,0
8/6/15,9:55 am,2015-08-06T09:55:00,1117,52
8/6/15,9:55 am,2015-08-06T09:55:00,1117,0
8/6/15,2:05 pm,2015-08-06T14:05:00,1707,20
8/6/15,8:45 pm,2015-08-06T20:45:00,2002,7
8/6/15,8:45 pm,2015-08-06T20:45:00,2002,7
8/6/15,10:30 pm,2015-08-06T22:30:00,2002,12
8/6/15,11:50 pm,2015-08-06T23:50:00,2026,10
8/7/15,8:10 am,2015-08-07T08:10:00,1117,13
8/7/15,5:00 pm,2015-08-07T17:00:00,1068,52
8/7/15,5:00 pm,2015-08-07T17:00:00,1068,0
8/8/15,9:37 pm,2015-08-08T21:37:00,1030,27
8/9/15,4:56 pm,2015-08-09T16:56:00,1074,39
8/10/15,7:00 am,2015-08-10T07:00:00,2029,41
8/10/15,7:00 am,2015-08-10T07:00:00,2029,41
8/10/15,7:22 am,2015-08-10T07:22:00,1130,13
8/10/15,4:20 pm,2015-08-10T16:20:00,1130,8
8/10/15,8:40 pm,2015-08-10T20:40:00,2017,7
8/10/15,8:40 pm,2015-08-10T20:40:00,2017,7
8/11/15,5:55 pm,2015-08-11T17:55:00,2001,5
8/11/15,7:40 pm,2015-08-11T19:40:00,2001,8
8/12/15,4:45 am,2015-08-12T04:45:00,1036,2
8/12/15,6:45 am,2015-08-12T06:45:00,1117,9
8/12/15,7:00 am,2015-08-12T07:00:00,1821,15
8/12/15,7:15 am,2015-08-12T07:15:00,1632,35
8/12/15,7:47 am,2015-08-12T07:47:00,1032,15
8/12/15,7:47 am,2015-08-12T07:47:00,1032,38
8/12/15,7:47 am,2015-08-12T07:47:00,1032,0
8/12/15,4:20 pm,2015-08-12T16:20:00,2020,2
8/13/15,12:00 am,2015-08-13T00:00:00,1115,2
8/13/15,7:42 am,2015-08-13T07:42:00,1126,10
8/13/15,1:21 pm,2015-08-13T13:21:00,1035,14
8/13/15,5:10 pm,2015-08-13T17:10:00,1130,5
8/14/15,12:00 am,2015-08-14T00:00:00,1065,5
8/14/15,12:00 am,2015-08-14T00:00:00,1074,3
8/14/15,6:07 am,2015-08-14T06:07:00,2027,0
8/14/15,6:55 am,2015-08-14T06:55:00,2017,0
8/14/15,6:55 am,2015-08-14T06:55:00,2017,0
8/14/15,8:35 am,2015-08-14T08:35:00,2020,4
8/14/15,6:35 pm,2015-08-14T18:35:00,2026,23
8/14/15,6:35 pm,2015-08-14T18:35:00,2026,23
8/14/15,6:35 pm,2015-08-14T18:35:00,2026,23
8/15/15,7:29 am,2015-08-15T07:29:00,1074,11
8/15/15,11:00 am,2015-08-15T11:00:00,1642,9
8/15/15,12:55 pm,2015-08-15T12:55:00,2030,0
8/15/15,12:55 pm,2015-08-15T12:55:00,2030,0
8/15/15,5:10 pm,2015-08-15T17:10:00,1075,10
8/15/15,11:04 pm,2015-08-15T23:04:00,2021,14
8/15/15,11:04 pm,2015-08-15T23:04:00,2021,14
8/16/15,11:35 am,2015-08-16T11:35:00,1068,29
8/16/15,1:15 pm,2015-08-16T13:15:00,1068,17
8/16/15,1:15 pm,2015-08-16T13:15:00,1121,7
8/16/15,1:15 pm,2015-08-16T13:15:00,1121,7
8/16/15,5:10 pm,2015-08-16T17:10:00,1075,4
8/17/15,4:50 am,2015-08-17T04:50:00,1513,4
8/17/15,5:35 am,2015-08-17T05:35:00,1064,9
8/17/15,5:35 am,2015-08-17T05:35:00,1064,9
8/17/15,7:15 am,2015-08-17T07:15:00,1636,49
8/17/15,2:10 pm,2015-08-17T14:10:00,1136,6
8/17/15,2:27 pm,2015-08-17T14:27:00,1116,32
8/17/15,5:02 pm,2015-08-17T17:02:00,2035,11
8/17/15,5:02 pm,2015-08-17T17:02:00,2035,11
8/18/15,7:20 am,2015-08-18T07:20:00,1061,11
8/18/15,8:56 am,2015-08-18T08:56:00,1064,4
8/18/15,4:20 pm,2015-08-18T16:20:00,1121,7
8/18/15,5:07 pm,2015-08-18T17:07:00,1051,4
8/18/15,6:11 pm,2015-08-18T18:11:00,1060,17
8/18/15,11:10 pm,2015-08-18T23:10:00,2001,12
8/18/15,11:10 pm,2015-08-18T23:10:00,2001,12
8/19/15,6:02 am,2015-08-19T06:02:00,1061,23
8/19/15,7:15 am,2015-08-19T07:15:00,1642,7
8/19/15,10:50 am,2015-08-19T10:50:00,1036,9
8/20/15,9:25 am,2015-08-20T09:25:00,1030,4
8/20/15,2:00 pm,2015-08-20T14:00:00,2035,14
8/20/15,2:00 pm,2015-08-20T14:00:00,2035,14
8/20/15,3:40 pm,2015-08-20T15:40:00,1804,12
8/20/15,5:15 pm,2015-08-20T17:15:00,2004,7
8/20/15,5:15 pm,2015-08-20T17:15:00,2004,7
